0 = no element to count ("empty" or "null" set)
1 = 1 element from the set to count
spaces : do nothing, used for visual, group of 5 elements in the set

Example :

Number | Counting
----------------
0      | 0
1      | 1
2      | 11
3      | 111
4      | 1111
5      | 11111 
6      | 11111 1
7      | 11111 11
8      | 11111 111
9      | 11111 1111
10     | 11111 11111 
15     | 11111 11111 11111 
20     | 11111 11111 11111 11111 
25     | 11111 11111 11111 11111 11111 
30     | 11111 11111 11111 11111 11111 11111 
35     | 11111 11111 11111 11111 11111 11111 11111 
40     | 11111 11111 11111 11111 11111 11111 11111 11111 
45     | 11111 11111 11111 11111 11111 11111 11111 11111 11111 
50     | 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 
55     | 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 
60     | 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 
65     | 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 
70     | 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111  
75     | 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 
80     | 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 
85     | 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 
90     | 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 
95     | 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 
100    | 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 11111 
